vector_id,video_id,parent_namespace,video_namespace,frame_id,frame_path,timestamp_s,timestamp_source,artifact_base,embedding_file,metadata_file
35,L21_V001,L21_a,L21_V001,002036,L21_a/L21_V001/002036.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
36,L21_V001,L21_a,L21_V001,002131,L21_a/L21_V001/002131.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
37,L21_V001,L21_a,L21_V001,002217,L21_a/L21_V001/002217.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
38,L21_V001,L21_a,L21_V001,002288,L21_a/L21_V001/002288.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
39,L21_V001,L21_a,L21_V001,002375,L21_a/L21_V001/002375.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
40,L21_V001,L21_a,L21_V001,002412,L21_a/L21_V001/002412.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
41,L21_V001,L21_a,L21_V001,002575,L21_a/L21_V001/002575.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
42,L21_V001,L21_a,L21_V001,002720,L21_a/L21_V001/002720.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
43,L21_V001,L21_a,L21_V001,002816,L21_a/L21_V001/002816.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
44,L21_V001,L21_a,L21_V001,002857,L21_a/L21_V001/002857.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
45,L21_V001,L21_a,L21_V001,002959,L21_a/L21_V001/002959.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
46,L21_V001,L21_a,L21_V001,003243,L21_a/L21_V001/003243.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
47,L21_V001,L21_a,L21_V001,003260,L21_a/L21_V001/003260.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
48,L21_V001,L21_a,L21_V001,003295,L21_a/L21_V001/003295.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
49,L21_V001,L21_a,L21_V001,003348,L21_a/L21_V001/003348.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
50,L21_V001,L21_a,L21_V001,003408,L21_a/L21_V001/003408.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
51,L21_V001,L21_a,L21_V001,003584,L21_a/L21_V001/003584.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
52,L21_V001,L21_a,L21_V001,003619,L21_a/L21_V001/003619.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
53,L21_V001,L21_a,L21_V001,003678,L21_a/L21_V001/003678.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
54,L21_V001,L21_a,L21_V001,003695,L21_a/L21_V001/003695.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
55,L21_V001,L21_a,L21_V001,003712,L21_a/L21_V001/003712.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
56,L21_V001,L21_a,L21_V001,003729,L21_a/L21_V001/003729.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
57,L21_V001,L21_a,L21_V001,003782,L21_a/L21_V001/003782.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
58,L21_V001,L21_a,L21_V001,003806,L21_a/L21_V001/003806.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
59,L21_V001,L21_a,L21_V001,003819,L21_a/L21_V001/003819.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
60,L21_V001,L21_a,L21_V001,003831,L21_a/L21_V001/003831.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
61,L21_V001,L21_a,L21_V001,003843,L21_a/L21_V001/003843.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
62,L21_V001,L21_a,L21_V001,003857,L21_a/L21_V001/003857.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
63,L21_V001,L21_a,L21_V001,003869,L21_a/L21_V001/003869.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
64,L21_V001,L21_a,L21_V001,003894,L21_a/L21_V001/003894.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
65,L21_V001,L21_a,L21_V001,003932,L21_a/L21_V001/003932.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
66,L21_V001,L21_a,L21_V001,004037,L21_a/L21_V001/004037.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
67,L21_V001,L21_a,L21_V001,004085,L21_a/L21_V001/004085.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
68,L21_V001,L21_a,L21_V001,004134,L21_a/L21_V001/004134.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
69,L21_V001,L21_a,L21_V001,004158,L21_a/L21_V001/004158.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
70,L21_V001,L21_a,L21_V001,004183,L21_a/L21_V001/004183.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
71,L21_V001,L21_a,L21_V001,004184,L21_a/L21_V001/004184.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
72,L21_V001,L21_a,L21_V001,004308,L21_a/L21_V001/004308.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
73,L21_V001,L21_a,L21_V001,004328,L21_a/L21_V001/004328.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
74,L21_V001,L21_a,L21_V001,004348,L21_a/L21_V001/004348.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
75,L21_V001,L21_a,L21_V001,004368,L21_a/L21_V001/004368.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
76,L21_V001,L21_a,L21_V001,004388,L21_a/L21_V001/004388.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
77,L21_V001,L21_a,L21_V001,004428,L21_a/L21_V001/004428.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
78,L21_V001,L21_a,L21_V001,004429,L21_a/L21_V001/004429.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
79,L21_V001,L21_a,L21_V001,004551,L21_a/L21_V001/004551.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
80,L21_V001,L21_a,L21_V001,004687,L21_a/L21_V001/004687.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
81,L21_V001,L21_a,L21_V001,004835,L21_a/L21_V001/004835.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
82,L21_V001,L21_a,L21_V001,004867,L21_a/L21_V001/004867.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
83,L21_V001,L21_a,L21_V001,004915,L21_a/L21_V001/004915.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
84,L21_V001,L21_a,L21_V001,004932,L21_a/L21_V001/004932.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
85,L21_V001,L21_a,L21_V001,004964,L21_a/L21_V001/004964.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
86,L21_V001,L21_a,L21_V001,004975,L21_a/L21_V001/004975.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
87,L21_V001,L21_a,L21_V001,004998,L21_a/L21_V001/004998.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
88,L21_V001,L21_a,L21_V001,005083,L21_a/L21_V001/005083.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
89,L21_V001,L21_a,L21_V001,005161,L21_a/L21_V001/005161.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
90,L21_V001,L21_a,L21_V001,005232,L21_a/L21_V001/005232.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
91,L21_V001,L21_a,L21_V001,005376,L21_a/L21_V001/005376.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
92,L21_V001,L21_a,L21_V001,005520,L21_a/L21_V001/005520.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
93,L21_V001,L21_a,L21_V001,005593,L21_a/L21_V001/005593.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
94,L21_V001,L21_a,L21_V001,006163,L21_a/L21_V001/006163.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
95,L21_V001,L21_a,L21_V001,006279,L21_a/L21_V001/006279.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
96,L21_V001,L21_a,L21_V001,006296,L21_a/L21_V001/006296.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
97,L21_V001,L21_a,L21_V001,006332,L21_a/L21_V001/006332.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
98,L21_V001,L21_a,L21_V001,006349,L21_a/L21_V001/006349.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
99,L21_V001,L21_a,L21_V001,006386,L21_a/L21_V001/006386.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
100,L21_V001,L21_a,L21_V001,006534,L21_a/L21_V001/006534.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
101,L21_V001,L21_a,L21_V001,006557,L21_a/L21_V001/006557.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
102,L21_V001,L21_a,L21_V001,006673,L21_a/L21_V001/006673.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
103,L21_V001,L21_a,L21_V001,006674,L21_a/L21_V001/006674.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
104,L21_V001,L21_a,L21_V001,006698,L21_a/L21_V001/006698.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
105,L21_V001,L21_a,L21_V001,006822,L21_a/L21_V001/006822.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
106,L21_V001,L21_a,L21_V001,006877,L21_a/L21_V001/006877.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
107,L21_V001,L21_a,L21_V001,006895,L21_a/L21_V001/006895.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
108,L21_V001,L21_a,L21_V001,006932,L21_a/L21_V001/006932.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
109,L21_V001,L21_a,L21_V001,006933,L21_a/L21_V001/006933.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
110,L21_V001,L21_a,L21_V001,006980,L21_a/L21_V001/006980.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
111,L21_V001,L21_a,L21_V001,007075,L21_a/L21_V001/007075.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
112,L21_V001,L21_a,L21_V001,007103,L21_a/L21_V001/007103.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
113,L21_V001,L21_a,L21_V001,007113,L21_a/L21_V001/007113.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
114,L21_V001,L21_a,L21_V001,007133,L21_a/L21_V001/007133.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
115,L21_V001,L21_a,L21_V001,007144,L21_a/L21_V001/007144.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
116,L21_V001,L21_a,L21_V001,007202,L21_a/L21_V001/007202.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
117,L21_V001,L21_a,L21_V001,007303,L21_a/L21_V001/007303.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
118,L21_V001,L21_a,L21_V001,007506,L21_a/L21_V001/007506.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
119,L21_V001,L21_a,L21_V001,007812,L21_a/L21_V001/007812.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
120,L21_V001,L21_a,L21_V001,007923,L21_a/L21_V001/007923.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
121,L21_V001,L21_a,L21_V001,007956,L21_a/L21_V001/007956.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
122,L21_V001,L21_a,L21_V001,008023,L21_a/L21_V001/008023.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
123,L21_V001,L21_a,L21_V001,008047,L21_a/L21_V001/008047.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
124,L21_V001,L21_a,L21_V001,008053,L21_a/L21_V001/008053.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
125,L21_V001,L21_a,L21_V001,008061,L21_a/L21_V001/008061.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
126,L21_V001,L21_a,L21_V001,008087,L21_a/L21_V001/008087.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
127,L21_V001,L21_a,L21_V001,008113,L21_a/L21_V001/008113.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
128,L21_V001,L21_a,L21_V001,008140,L21_a/L21_V001/008140.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
129,L21_V001,L21_a,L21_V001,008141,L21_a/L21_V001/008141.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
130,L21_V001,L21_a,L21_V001,008162,L21_a/L21_V001/008162.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
131,L21_V001,L21_a,L21_V001,008184,L21_a/L21_V001/008184.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
132,L21_V001,L21_a,L21_V001,008206,L21_a/L21_V001/008206.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
133,L21_V001,L21_a,L21_V001,008228,L21_a/L21_V001/008228.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
134,L21_V001,L21_a,L21_V001,008250,L21_a/L21_V001/008250.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
135,L21_V001,L21_a,L21_V001,008273,L21_a/L21_V001/008273.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
136,L21_V001,L21_a,L21_V001,008276,L21_a/L21_V001/008276.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
137,L21_V001,L21_a,L21_V001,008292,L21_a/L21_V001/008292.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
138,L21_V001,L21_a,L21_V001,008303,L21_a/L21_V001/008303.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
139,L21_V001,L21_a,L21_V001,008359,L21_a/L21_V001/008359.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
140,L21_V001,L21_a,L21_V001,008439,L21_a/L21_V001/008439.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
141,L21_V001,L21_a,L21_V001,008456,L21_a/L21_V001/008456.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
142,L21_V001,L21_a,L21_V001,008484,L21_a/L21_V001/008484.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
143,L21_V001,L21_a,L21_V001,008542,L21_a/L21_V001/008542.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
144,L21_V001,L21_a,L21_V001,008571,L21_a/L21_V001/008571.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
145,L21_V001,L21_a,L21_V001,008600,L21_a/L21_V001/008600.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
146,L21_V001,L21_a,L21_V001,008629,L21_a/L21_V001/008629.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
147,L21_V001,L21_a,L21_V001,008630,L21_a/L21_V001/008630.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
148,L21_V001,L21_a,L21_V001,008663,L21_a/L21_V001/008663.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
149,L21_V001,L21_a,L21_V001,008696,L21_a/L21_V001/008696.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
150,L21_V001,L21_a,L21_V001,008712,L21_a/L21_V001/008712.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
151,L21_V001,L21_a,L21_V001,008729,L21_a/L21_V001/008729.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
152,L21_V001,L21_a,L21_V001,008730,L21_a/L21_V001/008730.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
153,L21_V001,L21_a,L21_V001,008757,L21_a/L21_V001/008757.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
154,L21_V001,L21_a,L21_V001,008811,L21_a/L21_V001/008811.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
