query,rank,score,vector_id,video_id,parent_namespace,frame_id,frame_path,timestamp_s,search_ms
a person riding a motorcycle on a street,15,0.663103461265564,255455,L28_V013,L28_a,006774,L28_a/L28_V013/006774.webp,,134.52737500000467
a person riding a motorcycle on a street,16,0.6629078388214111,285890,L30_V091,L30_a,004011,L30_a/L30_V091/004011.webp,,134.52737500000467
a person riding a motorcycle on a street,17,0.6626488566398621,276678,L30_V010,L30_a,000316,L30_a/L30_V010/000316.webp,,134.52737500000467
a person riding a motorcycle on a street,18,0.6625792384147644,280510,L30_V044,L30_a,000486,L30_a/L30_V044/000486.webp,,134.52737500000467
a person riding a motorcycle on a street,19,0.6614352464675903,26581,L22_V008,L22_a,026534,L22_a/L22_V008/026534.webp,,134.52737500000467
a person riding a motorcycle on a street,20,0.661139965057373,248086,L28_V001,L28_a,011894,L28_a/L28_V001/011894.webp,,134.52737500000467
a television news presenter in a studio,1,0.724955677986145,19739,L21_V031,L21_a,016980,L21_a/L21_V031/016980.webp,,134.7611269999902
a television news presenter in a studio,2,0.7244806885719299,23559,L22_V004,L22_a,038638,L22_a/L22_V004/038638.webp,,134.7611269999902
a television news presenter in a studio,3,0.7238237857818604,12955,L21_V021,L21_a,030296,L21_a/L21_V021/030296.webp,,134.7611269999902
a television news presenter in a studio,4,0.7237323522567749,35452,L22_V019,L22_a,029400,L22_a/L22_V019/029400.webp,,134.7611269999902
a television news presenter in a studio,5,0.7233609557151794,7459,L21_V012,L21_a,027370,L21_a/L21_V012/027370.webp,,134.7611269999902
a television news presenter in a studio,6,0.7218953371047974,32048,L22_V015,L22_a,037324,L22_a/L22_V015/037324.webp,,134.7611269999902
a television news presenter in a studio,7,0.7211345434188843,24166,L22_V005,L22_a,030771,L22_a/L22_V005/030771.webp,,134.7611269999902
a television news presenter in a studio,8,0.7211345434188843,24165,L22_V005,L22_a,030770,L22_a/L22_V005/030770.webp,,134.7611269999902
a television news presenter in a studio,9,0.7208888530731201,12295,L21_V019,L21_a,027623,L21_a/L21_V019/027623.webp,,134.7611269999902
a television news presenter in a studio,10,0.7207821607589722,3888,L21_V007,L21_a,024812,L21_a/L21_V007/024812.webp,,134.7611269999902
a television news presenter in a studio,11,0.7207152843475342,42137,L22_V028,L22_a,019615,L22_a/L22_V028/019615.webp,,134.7611269999902
a television news presenter in a studio,12,0.7202818989753723,802,L21_V001,L21_a,037676,L21_a/L21_V001/037676.webp,,134.7611269999902
a television news presenter in a studio,13,0.7198675274848938,39961,L22_V025,L22_a,018900,L22_a/L22_V025/018900.webp,,134.7611269999902
a television news presenter in a studio,14,0.7198260426521301,12956,L21_V021,L21_a,030371,L21_a/L21_V021/030371.webp,,134.7611269999902
a television news presenter in a studio,15,0.7195230722427368,43917,L22_V030,L22_a,027844,L22_a/L22_V030/027844.webp,,134.7611269999902
a television news presenter in a studio,16,0.7192994952201843,744,L21_V001,L21_a,036185,L21_a/L21_V001/036185.webp,,134.7611269999902
a television news presenter in a studio,17,0.7192739248275757,18508,L21_V029,L21_a,032712,L21_a/L21_V029/032712.webp,,134.7611269999902
a television news presenter in a studio,18,0.719219982624054,41716,L22_V028,L22_a,000370,L22_a/L22_V028/000370.webp,,134.7611269999902
a television news presenter in a studio,19,0.7191780805587769,16492,L21_V026,L21_a,034018,L21_a/L21_V026/034018.webp,,134.7611269999902
a television news presenter in a studio,20,0.7190262079238892,20878,L22_V001,L22_a,032732,L22_a/L22_V001/032732.webp,,134.7611269999902
people sitting together around a table,1,0.6693960428237915,254580,L28_V011,L28_a,020698,L28_a/L28_V011/020698.webp,,127.83785199997055
people sitting together around a table,2,0.6681356430053711,254565,L28_V011,L28_a,019610,L28_a/L28_V011/019610.webp,,127.83785199997055
people sitting together around a table,3,0.6674669981002808,254579,L28_V011,L28_a,020523,L28_a/L28_V011/020523.webp,,127.83785199997055
people sitting together around a table,4,0.6670957803726196,254558,L28_V011,L28_a,019407,L28_a/L28_V011/019407.webp,,127.83785199997055
people sitting together around a table,5,0.6663718223571777,254564,L28_V011,L28_a,019589,L28_a/L28_V011/019589.webp,,127.83785199997055
people sitting together around a table,6,0.6660041213035583,254563,L28_V011,L28_a,019568,L28_a/L28_V011/019568.webp,,127.83785199997055
people sitting together around a table,7,0.6657060384750366,254581,L28_V011,L28_a,020734,L28_a/L28_V011/020734.webp,,127.83785199997055
people sitting together around a table,8,0.6627774834632874,254562,L28_V011,L28_a,019485,L28_a/L28_V011/019485.webp,,127.83785199997055
people sitting together around a table,9,0.6624211668968201,279911,L30_V037,L30_a,004289,L30_a/L30_V037/004289.webp,,127.83785199997055
people sitting together around a table,10,0.6604171395301819,279844,L30_V037,L30_a,003014,L30_a/L30_V037/003014.webp,,127.83785199997055
people sitting together around a table,11,0.6571415662765503,269156,L29_V013,L29_a,020655,L29_a/L29_V013/020655.webp,,127.83785199997055
people sitting together around a table,12,0.6569458246231079,279846,L30_V037,L30_a,003034,L30_a/L30_V037/003034.webp,,127.83785199997055
people sitting together around a table,13,0.6568148732185364,279845,L30_V037,L30_a,003024,L30_a/L30_V037/003024.webp,,127.83785199997055
people sitting together around a table,14,0.6562718152999878,269155,L29_V013,L29_a,020632,L29_a/L29_V013/020632.webp,,127.83785199997055
people sitting together around a table,15,0.6560746431350708,29723,L22_V013,L22_a,003755,L22_a/L22_V013/003755.webp,,127.83785199997055
people sitting together around a table,16,0.6554679870605469,254560,L28_V011,L28_a,019458,L28_a/L28_V011/019458.webp,,127.83785199997055
people sitting together around a table,17,0.6549732685089111,44284,L22_V031,L22_a,011168,L22_a/L22_V031/011168.webp,,127.83785199997055
people sitting together around a table,18,0.6549444794654846,279912,L30_V037,L30_a,004342,L30_a/L30_V037/004342.webp,,127.83785199997055
people sitting together around a table,19,0.6548797488212585,269153,L29_V013,L29_a,020527,L29_a/L29_V013/020527.webp,,127.83785199997055
people sitting together around a table,20,0.654507040977478,269154,L29_V013,L29_a,020569,L29_a/L29_V013/020569.webp,,127.83785199997055
